City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Leningradskiy,RU,37.31,broken clouds,69.3833,178.4167,Gostinitsa
360,Madang,PG,79.02,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
361,Tateyama,JP,82.67,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
365,Lakatoro,VU,76.17,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
366,Samarai,PG,78.17,overcast clouds,-10.6167,150.6667,Nuli Sapi
367,Zhigansk,RU,70.97,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
368,Hobyo,SO,81.75,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
369,Kotovsk,UA,70.43,clear sky,47.7531,29.532,Apartamenty
372,Suntar,RU,62.4,overcast clouds,62.1444,117.6319,Дом у Мамы
373,Huangzhai,CN,88.21,light rain,38.0751,112.6595,Jiayuan Hotel
374,Deli Tua,ID,85.71,broken clouds,3.5078,98.6839,Hotel Deli River and restaurant Omlandia
375,Lasa,IT,62.62,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
376,Canguaretama,BR,72.09,broken clouds,-6.38,-35.1289,Pousada do Italiano
378,Bahia Honda,CU,78.71,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
379,Duncanville,US,82.49,clear sky,32.6518,-96.9083,Best Western Plus Duncanville Dallas
380,Faya,SA,77.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
381,Changping,CN,87.44,light rain,40.2186,116.2197,Huachang Hotel
382,Acarau,BR,77.7,broken clouds,-2.8856,-40.12,castelo pizzaria
383,Orillia,CA,68.4,scattered clouds,44.6087,-79.4207,Knights Inn Orillia
384,Verkhnyaya Toyma,RU,63.77,light rain,62.2349,44.9985,Gostinitsa Sportivnaya
385,Mineiros,BR,62.46,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
386,Prado,BR,68.02,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
388,Tarko-Sale,RU,77.43,scattered clouds,64.9225,77.785,Yubileynaya
