City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Cabo San Lucas,MX,22.8909,-109.9124,86.5,72,100,7.87,overcast clouds
281,Klaksvik,FO,62.2266,-6.589,58.12,89,100,10.42,overcast clouds
282,Vao,NC,-22.6667,167.4833,67.64,67,97,12.06,overcast clouds
283,Emden,DE,53.3667,7.2167,61.97,90,83,18.14,broken clouds
284,Denpasar,ID,-8.65,115.2167,83.86,79,20,19.57,few clouds
285,Lufilufi,WS,-13.8745,-171.5986,76.78,83,100,16.67,light rain
286,Manyana,BW,-23.4,21.7167,65.1,20,0,9.17,clear sky
287,Taltal,CL,-25.4,-70.4833,51.13,83,50,1.61,scattered clouds
288,Cerkezkoy,TR,41.285,28.0003,79.21,64,0,8.05,clear sky
289,Faanui,PF,-16.4833,-151.75,78.57,78,100,9.35,overcast clouds
290,Yangjiang,CN,21.85,111.9667,88.47,74,97,8.59,overcast clouds
291,Carnarvon,AU,-24.8667,113.6333,75.27,69,0,10.36,clear sky
292,Bulawayo,ZW,-20.15,28.5833,63.18,41,0,9.17,clear sky
293,Pisco,PE,-13.7,-76.2167,58.01,88,20,2.3,few clouds
294,Cahors,FR,44.4167,1.3333,57.15,89,96,3.87,overcast clouds
295,Pontianak,ID,-0.0333,109.3333,84.18,79,40,4.61,scattered clouds
296,Ayagoz,KZ,47.9714,80.4392,87.4,19,26,3.98,scattered clouds
297,Taoudenni,ML,22.6783,-3.9836,95.59,11,76,11.43,broken clouds
298,Fortuna,US,40.5982,-124.1573,63.36,68,90,1.01,overcast clouds
299,Tagusao,PH,9.1924,117.8141,82.98,79,100,4.83,overcast clouds
300,Mogadishu,SO,2.0371,45.3438,80.47,65,75,16.11,broken clouds
301,Florence,IT,43.7667,11.25,78.75,66,20,1.14,few clouds
302,Chicomuselo,MX,15.7667,-92.2667,67.3,96,98,2.44,overcast clouds
303,Moron,AR,-34.6534,-58.6198,64.15,96,100,5.01,overcast clouds
304,Husavik,IS,66.0449,-17.3389,51.71,88,86,1.23,overcast clouds
305,Manacapuru,BR,-3.2997,-60.6206,77.58,68,100,2.13,light rain
306,Tucurui,BR,-3.7661,-49.6725,70.79,68,2,3.02,clear sky
307,Maniitsoq,GL,65.4167,-52.9,41.36,91,100,5.3,light rain
308,Praya,CV,14.9215,-23.5087,79.34,89,75,9.22,broken clouds
309,Mehamn,NO,71.0357,27.8492,69.75,49,0,13.8,clear sky
310,Dabhol,IN,17.6,73.1667,83.68,71,72,7.85,broken clouds
311,Menongue,AO,-14.6585,17.691,66.6,16,7,6.85,clear sky
312,Meadow Lake,US,34.8014,-106.5436,79.12,42,0,4.52,clear sky
313,Pochutla,MX,15.7432,-96.4661,74.82,92,100,4.12,overcast clouds
314,Port-Cartier,CA,50.0334,-66.8654,53.71,63,0,10.6,clear sky
315,Wewak,PG,-3.5534,143.6268,83.23,75,98,9.57,overcast clouds
316,Kieta,PG,-6.2167,155.6333,80.96,78,95,3.09,light rain
317,Segezha,RU,63.7415,34.3222,55.76,91,100,16.28,overcast clouds
318,Simao,CN,22.7886,100.9748,80.89,68,98,4.07,overcast clouds
319,Lucea,JM,18.451,-78.1736,82.26,80,13,5.75,few clouds
320,Amapa,BR,1.0,-52.0,70.3,99,51,1.03,broken clouds
321,Nome,US,64.5011,-165.4064,54.16,67,1,6.91,clear sky
322,Katherine,AU,-14.4667,132.2667,84.52,17,0,8.05,clear sky
323,Vardo,NO,70.3705,31.1107,57.07,75,49,11.03,scattered clouds
324,Hervey Bay,AU,-25.2986,152.8535,73.51,63,0,14.45,clear sky
325,Novikovo,RU,51.1537,37.8879,81.93,27,100,2.53,overcast clouds
326,Teya,RU,60.3778,92.6267,75.7,45,99,3.11,overcast clouds
327,Ciuruleasa,RO,46.25,23.0333,73.74,47,0,1.77,clear sky
328,Nakambala,ZM,-15.8324,27.7799,69.39,40,0,12.01,clear sky
329,Kirovskiy,RU,45.0917,133.5136,75.04,64,94,7.85,overcast clouds
330,Port Moresby,PG,-9.4431,147.1797,83.62,70,40,17.27,haze
331,Mahon,ES,39.8885,4.2658,75.76,69,20,16.11,few clouds
332,Kyaikkami,MM,16.08,97.5675,83.95,75,100,10.36,overcast clouds
333,Fort Walton Beach,US,30.4058,-86.6188,80.98,88,20,0.0,few clouds
334,Paamiut,GL,61.994,-49.6678,41.7,93,100,9.82,light rain
335,Kidal,ML,18.4411,1.4078,87.76,39,98,13.73,overcast clouds
336,Alakurtti,RU,66.9672,30.3491,62.64,56,100,12.8,overcast clouds
337,Lompoc,US,34.6391,-120.4579,61.09,95,90,0.0,fog
338,Siavonga,ZM,-16.5382,28.7088,71.82,43,0,3.69,clear sky
339,Vikhorevka,RU,56.1201,101.1636,71.19,27,91,5.37,overcast clouds
340,Abu Samrah,SY,35.3029,37.1841,85.14,43,0,16.58,clear sky
341,San Quintin,MX,30.4833,-115.95,66.09,87,88,4.43,overcast clouds
342,Tazovskiy,RU,67.4667,78.7,69.58,54,43,9.57,scattered clouds
343,Monte Alegre,BR,-2.0078,-54.0692,72.59,73,0,3.36,clear sky
344,Acapulco,MX,16.8634,-99.8901,77.22,88,99,9.06,overcast clouds
345,Saint-Augustin,CA,51.226,-58.6502,54.46,91,100,10.16,overcast clouds
346,Iroquois Falls,CA,48.7669,-80.6831,50.14,78,99,4.81,overcast clouds
